"frame" "survey" "transect" "y" "file" "timestamp" "time" "altitude" "depth" "heading" "lat" "lon" "pitch" "roll" "surge" "brightness" "exposure" "gain" "gamma" "shutter" "white_bu" "white_rv" "alt"
"55" 5 1 3 2 "frame000841_0.jpg" 1321533738.08807 "2011111712:42:18.088" 2.21313 34.5026 317.111 6505.4162 2245.3812 -3.33984 -0.966797 1.32 0 0.333923 25.9161 1 0.0105028 89 79 2.2
"56" 6 1 3 4 "frame000850_0.jpg" 1321533742.29792 "2011111712:42:22.297" 2.17164 34.5671 317.523 6505.4183 2245.3862 -1.52161 -2.04346 1.293 0 0.533997 25.9161 1 0.0105028 89 79 2.2
"57" 7 1 3 1 "frame000853_0.jpg" 1321533743.55809 "2011111712:42:23.558" 2.12362 34.5761 316.919 6505.4189 2245.3877 -1.90063 -2.13684 1.295 0 0.614746 25.9161 1 0.0105028 89 79 2.1
"58" 8 1 3 2 "frame000859_0.jpg" 1321533746.10897 "2011111712:42:26.108" 2.03837 34.5737 317.062 6505.4202 2245.3906 -0.543823 -3.27393 1.29 0 0.653442 25.9161 1 0.0105028 89 79 2
"59" 9 1 3 3 "frame000868_0.jpg" 1321533750.33805 "2011111712:42:30.338" 1.96346 34.4096 317.194 6505.4224 2245.3957 -1.63696 -2.31262 1.29 0 0.507812 25.9161 1 0.0105028 89 79 2
"60" 10 1 3 4 "frame000886_0.jpg" 1321533758.79811 "2011111712:42:38.798" 2.08465 34.2065 317.265 6505.4266 2245.4058 -2.02698 -3.02673 1.326 0 0.579956 25.9161 1 0.0105028 89 79 2.1
"61" 11 1 3 3 "frame000898_0.jpg" 1321533764.3281 "2011111712:42:44.328" 2.07077 34.1475 317.666 6505.4293 2245.4124 -0.307617 -1.87317 1.36 0 0.42627 25.9161 1 0.0105028 89 79 2.1
"62" 12 1 3 3 "frame000919_0.jpg" 1321533774.04801 "2011111712:42:54.048" 2.17216 33.877 317.863 6505.4343 2245.4242 -1.81824 -1.21399 1.348 0 0.691162 25.9161 1 0.0105028 89 79 2.2
"63" 13 1 3 3 "frame000925_0.jpg" 1321533777.01802 "2011111712:42:57.018" 2.05483 33.8607 317.83 6505.4358 2245.4277 -1.47217 -1.96655 1.327 0 0.609802 25.9161 1 0.0105028 89 79 2.1
"64" 14 1 3 7 "frame000931_0.jpg" 1321533779.55799 "2011111712:42:59.557" 1.97591 33.8305 317.973 6505.4371 2245.4308 0.357056 -1.54907 1.321 0 0.569885 25.9161 1 0.0105028 89 79 2
"65" 15 1 3 1 "frame000949_0.jpg" 1321533788.00803 "2011111712:43:08.008" 2.16244 33.6454 317.627 6505.4413 2245.4409 -2.07092 -1.78528 1.301 0 0.718811 25.9161 1 0.0105028 89 79 2.2
"66" 16 1 3 5 "frame000958_0.jpg" 1321533792.53478 "2011111712:43:12.534" 1.98521 33.67 317.468 6505.4432 2245.4452 -1.58203 -1.71387 1.289 0 0.714233 25.9161 1 0.0105028 89 79 2
"67" 17 1 3 6 "frame000964_0.jpg" 1321533794.86803 "2011111712:43:14.868" 2.01591 33.5726 317.594 6505.4448 2245.4489 -1.29089 -2.15881 1.28 0 0.594971 25.9161 1 0.0105028 89 79 2
"68" 18 1 3 2 "frame000967_0.jpg" 1321533796.50811 "2011111712:43:16.508" 2.12894 33.5422 317.632 6505.4456 2245.4508 -0.598755 -2.14783 1.309 0 0.594971 25.9161 1 0.0105028 89 79 2.1
"69" 19 1 3 4 "frame000970_0.jpg" 1321533797.78807 "2011111712:43:17.788" 2.08506 33.5117 317.847 6505.4462 2245.4523 -2.55432 -1.58752 1.324 0 0.564819 25.9161 1 0.0105028 89 79 2.1
"70" 20 1 3 6 "frame000973_0.jpg" 1321533799.06807 "2011111712:43:19.068" 2.06049 33.5207 317.22 6505.4468 2245.4537 -1.58752 -2.47742 1.305 0 0.594971 25.9161 1 0.0105028 89 79 2.1
"71" 21 1 3 5 "frame000976_0.jpg" 1321533800.32814 "2011111712:43:20.328" 1.95025 33.5042 317.61 6505.4475 2245.4553 -0.230713 -1.23596 1.313 0 0.564819 25.9161 1 0.0105028 89 79 2
"72" 22 1 3 6 "frame000979_0.jpg" 1321533802.01795 "2011111712:43:22.017" 1.9479 33.457 317.391 6505.4483 2245.4573 -0.422974 -3.04321 1.33 0 0.594971 25.9161 1 0.0105028 89 79 1.9
"73" 23 1 3 5 "frame000985_0.jpg" 1321533804.55814 "2011111712:43:24.558" 1.96309 33.3552 317.885 6505.4496 2245.4602 -0.686646 -3.5321 1.291 0 0.662964 25.9161 1 0.0105028 89 79 2
"74" 24 1 3 7 "frame000988_0.jpg" 1321533805.84837 "2011111712:43:25.848" 1.96905 33.319 317.193 6505.4502 2245.4617 0.466919 -1.97205 1.301 0 0.662964 25.9161 1 0.0105028 89 79 2
"75" 25 1 3 7 "frame000991_0.jpg" 1321533807.56823 "2011111712:43:27.568" 1.97531 33.2146 317.83 6505.4511 2245.4638 -0.780029 -2.005 1.31 0 0.723389 25.9161 1 0.0105028 89 79 2
"76" 1 1 4 2 "frame001067_0.jpg" 1321534070.51935 "2011111712:47:50.519" 2.20625 29.6692 134.088 6505.5286 2245.5575 -1.77429 -1.47217 1.249 0 0.718811 25.9161 1 0.0105028 89 79 2.2
"77" 2 1 4 8 "frame001079_0.jpg" 1321534076.43802 "2011111712:47:56.438" 2.11923 29.7258 134.483 6505.5259 2245.5512 -1.51611 -2.42798 1.271 0 0.705078 25.9161 1 0.0105028 89 79 2.1
"78" 3 1 4 5 "frame001097_0.jpg" 1321534084.44806 "2011111712:48:04.448" 2.02198 29.5797 133.758 6505.5218 2245.5416 -0.148315 -0.483398 1.252 0 0.737 25.9161 1 0.0105028 89 79 2
"79" 4 1 4 5 "frame001109_0.jpg" 1321534089.96821 "2011111712:48:09.968" 1.99078 29.4529 133.209 6505.5192 2245.5354 0.098877 -3.16956 1.309 0 0.82019 25.9161 1 0.0105028 89 79 2
"80" 5 1 4 3 "frame001118_0.jpg" 1321534094.18811 "2011111712:48:14.188" 1.95445 29.3444 132.885 6505.5171 2245.5305 0.686646 -1.25244 1.279 0 0.857971 25.9161 1 0.0105028 89 79 2
"81" 6 1 4 5 "frame001121_0.jpg" 1321534095.44807 "2011111712:48:15.448" 1.95359 29.2859 133.297 6505.5164 2245.5291 -0.675659 -2.09839 1.276 0 0.874512 25.9161 1 0.0105028 89 79 2
"82" 7 1 4 1 "frame001127_0.jpg" 1321534098.40803 "2011111712:48:18.408" 2.00893 29.1894 133.242 6505.515 2245.5257 -0.856934 -1.89514 1.292 0 0.866272 25.9161 1 0.0105028 89 79 2
"83" 8 1 4 3 "frame001136_0.jpg" 1321534102.63806 "2011111712:48:22.638" 1.91583 29.1173 132.479 6505.5129 2245.5209 0.0604248 -2.87842 1.296 0 0.926819 25.9161 1 0.0105028 89 79 1.9
"84" 9 1 4 1 "frame001139_0.jpg" 1321534103.90806 "2011111712:48:23.908" 1.93012 29.0778 131.786 6505.5123 2245.5194 0.725098 -1.66443 1.285 0 0.803101 25.9161 1 0.0105028 89 79 1.9
"85" 10 1 4 3 "frame001142_0.jpg" 1321534105.17812 "2011111712:48:25.178" 1.95018 29.0123 132.77 6505.5117 2245.5179 -0.241699 -1.35681 1.295 0 0.922852 25.9161 1 0.0105028 89 79 2
"86" 11 1 4 4 "frame001145_0.jpg" 1321534106.85807 "2011111712:48:26.858" 1.96451 28.9504 131.545 6505.5108 2245.5159 0.593262 -2.005 1.303 0 0.977295 25.9161 1 0.0105028 89 79 2
